Papel,Cotação,Tipo,Data últ cot,Empresa,Min 52 sem,Setor,Max 52 sem,Subsetor,Vol $ méd (2m),Valor de mercado,Últ balanço processado,Valor da firma,Nro. Ações,Dia,P/L,LPA,Mês,P/VP,VPA,30 dias,P/EBIT,Marg. Bruta,12 meses,PSR,Marg. EBIT,2020,P/Ativos,Marg. Líquida,2019,P/Cap. Giro,EBIT / Ativo,2018,P/Ativ Circ Liq,ROIC,2017,Div. Yield,ROE,2016,EV / EBITDA,Liquidez Corr,2015,EV / EBIT,Div Br/ Patrim,Cres. Rec (5a),Giro Ativos,Ativo,Patrim. Líq
CARD3,8.55,ON NM,09/04/2020,CSU CARDSYST ON NM,5.86,Serviços,15.53,Serviços Diversos,3266030.0,357390000.0,31/12/2019,446426000.0,41800000.0,-4.58,13.32,0.64,10.32,1.39,6.15,-18.34,8.94,25.2,30.36,0.82,9.2,-29.93,0.72,6.2,83.26,-57.23,8.1,-27.36,-3.41,9.6,107.43,3.6,10.4,74.81,4.51,0.96,7.63,11.16,0.46,-2.3,0.87,495706000.0,257266000.0
CVCB3,12.95,ON NM,09/04/2020,CVC BRASIL ON NM,6.49,Viagens e Lazer,58.17,Viagens e Turismo,128000000.0,1933810000.0,30/09/2019,3064240000.0,149329000.0,10.21,8.01,1.62,16.67,1.41,9.18,-33.59,2.74,88.6,-74.2,0.98,35.6,-70.43,0.28,11.6,-27.82,1.16,10.2,27.11,-3.75,12.2,106.83,3.4,17.6,83.66,3.63,1.49,-6.84,4.35,1.13,22.8,0.29,6931810000.0,1370930000.0
CCPR3,15.08,ON,09/04/2020,CYRELA COMMERCIAL PROPERTIES SA EMP PART ON,11.51,Exploração de Imóveis,26.49,Exploração de Imóveis,9000280.0,2489920000.0,31/12/2019,3595470000.0,165114000.0,2.72,75.89,0.2,9.67,1.31,11.53,-25.93,10.05,65.3,23.61,5.29,52.6,-40.65,0.47,20.6,192.07,3.34,4.7,8.48,-2.18,5.6,26.9,0.0,1.7,15.75,12.32,3.88,-27.3,14.51,1.05,5.7,0.09,5311610000.0,1904030000.0
CYRE3,14.6,PN,09/04/2020,CYRELA BRAZIL REALTY PN,12.45,Construção e Engenharia,34.38,Construção Civil,155823000.0,5836250000.0,31/12/2019,6975470000.0,399743000.0,1.74,14.03,1.04,3.33,1.23,11.91,-36.85,13.25,30.9,-2.99,1.48,11.2,-50.83,0.58,13.6,105.9,1.84,4.4,26.49,10.79,5.2,29.84,12.5,8.7,40.48,14.73,2.44,-25.77,15.84,0.53,-2.1,0.39,9987780000.0,4762380000.0
PNVL3,25.98,ON,09/04/2020,PANVEL FARMÁCIAS ON,12.15,Comércio e Distribuição,30.0,Medicamentos,1702530.0,3519770000.0,31/12/2019,3953740000.0,135480000.0,1.68,45.86,0.57,14.5,6.71,3.87,-3.78,30.91,29.7,101.66,1.29,4.2,32.33,2.41,2.8,91.72,10.06,7.8,-21.2,-41.42,10.5,-40.06,0.6,14.6,131.99,18.88,1.7,35.67,34.72,0.96,8.0,1.87,1460290000.0,524176000.0
DIRR3,9.13,ON NM,09/04/2020,Direcional Engenharia ON NM,7.18,Construção e Engenharia,18.39,Construção Civil,17999600.0,1400530000.0,31/12/2019,1544150000.0,153399000.0,3.51,13.94,0.65,8.95,1.11,8.19,-30.52,6.02,33.7,7.67,0.96,15.9,-39.13,0.3,8.3,116.76,0.77,5.0,45.68,-1.47,6.0,24.02,5.5,8.0,36.3,5.75,4.52,-52.13,6.64,0.69,-3.0,0.31,4654720000.0,1256930000.0
DMMO3,0.89,ON,09/04/2020,DOMMO ON,0.48,"Petróleo, Gás e Biocombustíveis",10.4,Exploração e/ou Refino e Distribuição,6273080.0,240336000.0,31/12/2019,900387000.0,270040000.0,39.06,-1.9,-0.47,43.55,-0.5,-1.79,-5.32,-21.54,12.5,-87.64,0.55,-2.5,-69.62,0.18,-28.9,-70.1,-1.0,-0.8,-5.77,-0.15,-1.0,-53.15,0.0,26.2,-62.99,17.1,0.48,270.31,-80.69,-1.63,4.3,0.33,1339740000.0,-482478000.0
DTEX3,9.34,ON NM,09/04/2020,DURATEX ON NM,7.77,Madeira e Papel,19.3,Madeira,57799900.0,6461270000.0,31/12/2019,8166590000.0,691785000.0,-0.64,15.93,0.59,-0.11,1.31,7.13,-32.85,18.67,25.8,-10.88,1.29,6.9,-44.14,0.6,8.1,44.26,4.74,3.2,37.0,-2.85,3.9,36.67,4.0,8.2,17.23,7.66,1.63,-19.02,23.59,0.6,7.3,0.47,10714700000.0,4930860000.0
ECOR3,10.7,ON NM,09/04/2020,ECORODOVIAS ON NM,8.05,Transporte,19.1,Exploração de Rodovias,53816500.0,5978080000.0,31/12/2019,12638700000.0,558699000.0,5.63,-32.23,-0.33,13.23,13.13,0.82,-10.98,4.97,38.0,13.23,1.51,30.4,-34.36,0.52,-4.7,73.77,-3.56,10.4,-17.79,-0.68,12.8,55.66,0.0,-40.7,66.97,7.14,0.58,-49.94,10.51,19.06,7.6,0.34,11542500000.0,455351000.0
ELET3,25.26,ON,09/04/2020,ELETROBRÁS ON,15.24,Energia Elétrica,46.83,Energia Elétrica,183740000.0,39631200000.0,31/12/2019,74748800000.0,1568930000.0,5.29,3.7,6.82,5.87,0.56,45.19,-8.31,5.44,75.6,-22.13,1.43,26.3,-33.17,0.22,38.8,59.97,2.63,4.1,25.29,-0.61,4.5,-15.2,2.8,15.1,295.73,8.22,1.59,1.81,10.26,0.69,-11.4,0.16,177467000000.0,70906800000.0
ELET6,28.34,PNB,09/04/2020,ELETROBRÁS PNB,18.48,Energia Elétrica,47.27,Energia Elétrica,123600000.0,44463500000.0,31/12/2019,79581100000.0,1568930000.0,5.16,4.16,6.82,8.87,0.63,45.19,-4.99,6.1,75.6,-15.7,1.6,26.3,-25.89,0.25,38.8,41.32,2.95,4.1,24.07,-0.68,4.5,-6.44,4.3,15.1,147.98,8.75,1.59,32.96,10.93,0.69,-11.4,0.16,177467000000.0,70906800000.0
EMBR3,9.63,ON,09/04/2020,EMBRAER ON,7.74,Material de Transporte,20.5,Material Aeronáutico,77099300.0,7130680000.0,31/12/2019,2398600000.0,740465000.0,3.1,-5.42,-1.78,0.94,0.5,19.15,-35.63,23.34,13.7,-48.97,0.68,2.9,-51.19,0.17,-12.4,-8.99,0.81,0.7,8.89,1.1,0.8,27.14,0.0,-9.3,-46.72,2.13,1.34,21.5,7.85,0.03,-13.6,0.25,42614700000.0,14179000000.0
ENAT3,9.62,ON,09/04/2020,ENAUTA PART ON,6.44,"Petróleo, Gás e Biocombustíveis",18.54,Exploração e/ou Refino e Distribuição,20489000.0,2557060000.0,31/12/2019,1104700000.0,265807000.0,-7.5,11.87,0.81,5.14,0.88,10.89,-0.31,8.28,31.9,-27.34,2.3,27.8,-39.88,0.56,19.4,94.65,1.7,6.8,-0.24,6.06,11.4,107.04,19.8,7.4,-5.24,1.49,3.63,-14.63,3.58,0.09,23.7,0.24,4549170000.0,2895540000.0
ENBR3,16.09,ON,09/04/2020,EDP ENERGIAS DO BRASIL S/A ON,13.63,Energia Elétrica,22.92,Energia Elétrica,74586300.0,9764220000.0,31/12/2019,15455200000.0,606850000.0,0.94,7.3,2.2,0.03,1.06,15.21,-14.61,4.04,19.4,-5.74,0.64,15.9,-25.19,0.36,9.7,56.96,6.14,8.8,9.23,-0.99,10.7,5.22,4.0,14.5,22.99,5.05,1.28,39.69,6.4,0.92,12.9,0.55,27489100000.0,9229050000.0
ENGI11,41.71,UNT N2,09/04/2020,ENERGISA UNT N2,35.35,Energia Elétrica,60.0,Energia Elétrica,89961000.0,15137100000.0,31/12/2019,29575400000.0,1814560000.0,2.36,33.24,1.25,10.34,2.66,15.7,-17.96,6.52,16.3,5.47,0.76,11.7,-21.62,0.38,2.6,48.0,6.51,5.9,39.76,-0.66,6.7,50.55,1.4,8.0,36.1,8.5,1.31,32.95,12.74,3.0,14.0,0.51,39319800000.0,5698260000.0
ENEV3,34.27,ON,09/04/2020,ENEVA ON,19.22,Energia Elétrica,48.31,Energia Elétrica,91934700.0,10811600000.0,31/12/2019,14579900000.0,315483000.0,1.99,18.0,1.9,-1.38,1.57,21.88,-15.88,12.5,39.5,74.85,3.45,27.6,-21.56,0.78,19.1,171.54,7.34,6.2,15.76,-2.61,7.5,16.81,0.0,8.7,-15.0,10.76,2.09,-39.13,16.86,0.81,20.0,0.23,13863100000.0,6902430000.0
EGIE3,39.27,ON,09/04/2020,ENGIE BRASIL ON,37.56,Energia Elétrica,54.1,Energia Elétrica,105690000.0,32041500000.0,31/12/2019,42934300000.0,815928000.0,0.8,13.87,2.83,0.9,4.58,8.57,-12.29,8.22,42.3,-5.26,3.27,39.8,-22.7,1.06,23.6,59.2,41.83,12.9,29.98,-1.95,15.3,9.31,4.1,33.0,7.05,9.02,1.13,6.28,11.01,2.11,12.0,0.33,30135600000.0,6995150000.0
EQTL3,18.33,ON NM,09/04/2020,EQUATORIAL ENERGIA S.A. ON NM,15.44,Energia Elétrica,26.9,Energia Elétrica,241001000.0,18516700000.0,30/09/2019,30407000000.0,1010190000.0,4.62,11.66,1.57,4.15,2.79,6.57,-17.62,4.89,27.2,14.99,1.13,23.1,-19.57,0.55,11.4,54.61,4.67,11.2,15.52,-1.13,13.8,21.87,1.0,23.9,62.33,6.99,1.69,27.47,8.02,2.5,20.2,0.48,33872000000.0,6635790000.0
ETER3,2.65,ON,09/04/2020,ETERNIT ON,1.91,Construção e Engenharia,7.3,Materiais de Construção,2034700.0,84201100.0,31/12/2019,188417000.0,31774000.0,3.52,-6.66,-0.4,3.52,-29.84,-0.09,-33.75,-1.64,14.0,31.84,0.17,-10.5,-37.79,0.15,-2.6,52.69,21.15,-9.4,-49.27,-0.27,-10.8,-30.38,0.0,448.2,-36.8,-5.75,1.02,-28.45,-3.67,-40.25,-16.6,0.9,545587000.0,-2822000.0
EVEN3,6.35,ON NM,09/04/2020,Even ON NM,5.31,Construção e Engenharia,19.21,Construção Civil,30264400.0,1377950000.0,31/12/2019,1852310000.0,217000000.0,2.42,11.56,0.55,3.93,0.83,7.69,-42.27,7.61,24.9,7.63,0.72,9.5,-59.19,0.28,7.5,159.33,0.62,3.6,4.53,3.1,4.6,55.14,0.0,7.1,-5.61,9.73,2.65,-17.3,10.23,0.84,-4.4,0.38,4983540000.0,1668620000.0
EZTC3,30.2,ON NM,09/04/2020,EZTec ON NM,19.97,Construção e Engenharia,60.16,Construção Civil,118198000.0,6855400000.0,31/12/2019,5590020000.0,227000000.0,-1.18,24.39,1.24,1.68,1.82,16.57,-22.16,48.72,40.8,39.56,8.52,17.5,-41.81,1.6,36.1,152.8,3.24,3.3,18.53,3.47,4.8,64.48,0.3,7.5,36.93,37.2,7.41,-32.66,39.73,0.01,-4.0,0.19,4275920000.0,3762040000.0
FESA4,13.79,PN,09/04/2020,FERBASA PN,10.39,Siderurgia e Metalurgia,23.11,Siderurgia,5491150.0,1217930000.0,31/12/2019,1537980000.0,88320000.0,-0.79,5.51,2.5,6.32,0.66,20.74,-7.45,10.38,20.2,-30.41,0.95,9.2,-31.08,0.44,17.3,3.64,2.78,4.3,6.08,-5.68,4.7,180.34,9.8,12.1,19.89,5.07,2.71,-1.63,13.1,0.27,8.9,0.47,2746440000.0,1832110000.0
FLRY3,21.55,ON NM,09/04/2020,FLEURY ON NM,18.14,Saúde,32.8,"Serviços Médico - Hospitalares, Análises e Diagnósticos",86269200.0,6826780000.0,31/12/2019,7578930000.0,316788000.0,-0.42,21.86,0.99,6.47,3.88,5.55,-20.21,12.02,30.6,-3.3,2.35,19.6,-27.69,1.34,10.8,61.88,9.25,11.1,-30.99,-3.69,13.8,68.91,4.3,17.8,137.94,8.53,1.99,0.0,13.34,0.88,11.6,0.57,5096650000.0,1758980000.0
